  a9 | 01/01/2020 | 12:22:24 AM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  aa | 01/01/2020 | 12:22:50 AM UTC | System Event | OEM System boot event | Asserted
  ab | 01/01/2020 | 12:23:06 AM UTC | System Event | Timestamp Clock Sync | Asserted
  ac | 01/01/2020 | 12:23:06 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  ad | 01/02/2020 | 05:15:19 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  ae | 01/02/2020 | 05:15:19 PM UTC | System Event | Timestamp Clock Sync | Asserted
  af | 01/02/2020 | 05:16:04 PM UTC | Processor #0xe5 | Presence detected | Asserted
  b0 | 01/02/2020 | 05:16:12 PM UTC | Processor #0xe4 | Presence detected | Asserted
  b1 | 01/02/2020 | 05:16:12 PM UTC | Power Supply #0xe6 | Presence detected | Asserted
  b2 | 01/02/2020 | 05:16:12 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
  b3 | 01/02/2020 | 05:16:12 PM UTC | Power Supply #0xe7 | Presence detected | Asserted
  b4 | 01/02/2020 | 07:06:19 PM UTC | Power Unit #0xff | Power off/down | Asserted
  b5 | 01/02/2020 | 07:06:42 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  b6 | 01/02/2020 | 07:06:42 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  b7 | 01/02/2020 | 07:06:43 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  b8 | 01/02/2020 | 07:06:56 PM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  b9 | 01/02/2020 | 07:06:57 PM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  ba | 01/02/2020 | 07:07:14 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  bb | 01/02/2020 | 07:07:40 PM UTC | System Event | OEM System boot event | Asserted
  bc | 01/02/2020 | 07:07:56 PM UTC | System Event | Timestamp Clock Sync | Asserted
  bd | 01/02/2020 | 07:07:56 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  be | 01/02/2020 | 07:17:12 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  bf | 01/02/2020 | 07:17:12 PM UTC | System Event | Timestamp Clock Sync | Asserted
  c0 | 01/02/2020 | 07:17:58 PM UTC | Processor #0xe5 | Presence detected | Asserted
  c1 | 01/02/2020 | 07:18:05 PM UTC | Processor #0xe4 | Presence detected | Asserted
  c2 | 01/02/2020 | 07:18:05 PM UTC | Power Supply #0xe6 | Presence detected | Asserted
  c3 | 01/02/2020 | 07:18:05 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
  c4 | 01/02/2020 | 07:18:05 PM UTC | Power Supply #0xe7 | Presence detected | Asserted
  c5 | 01/02/2020 | 08:40:18 PM UTC | Power Unit #0xff | Power off/down | Asserted
  c6 | 01/02/2020 | 08:40:40 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  c7 | 01/02/2020 | 08:40:41 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  c8 | 01/02/2020 | 08:40:42 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  c9 | 01/02/2020 | 08:40:55 PM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  ca | 01/02/2020 | 08:40:55 PM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  cb | 01/02/2020 | 08:41:13 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  cc | 01/02/2020 | 08:41:39 PM UTC | System Event | OEM System boot event | Asserted
  cd | 01/02/2020 | 08:41:56 PM UTC | System Event | Timestamp Clock Sync | Asserted
  ce | 01/02/2020 | 08:41:56 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  cf | 01/02/2020 | 08:43:05 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  d0 | 01/02/2020 | 08:43:05 PM UTC | System Event | Timestamp Clock Sync | Asserted
  d1 | 01/02/2020 | 08:43:49 PM UTC | Processor #0xe5 | Presence detected | Asserted
  d2 | 01/02/2020 | 08:43:56 PM UTC | Processor #0xe4 | Presence detected | Asserted
  d3 | 01/02/2020 | 08:43:56 PM UTC | Power Supply #0xe6 | Presence detected | Asserted
  d4 | 01/02/2020 | 08:43:56 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
  d5 | 01/02/2020 | 08:43:56 PM UTC | Power Supply #0xe7 | Presence detected | Asserted
  d6 | 01/02/2020 | 10:08:44 PM UTC | Power Unit #0xff | Power off/down | Asserted
  d7 | 01/02/2020 | 10:20:14 PM UTC | System Event | OEM System boot event | Asserted
  d8 | 01/05/2020 | 03:01:06 PM UTC | Power Unit #0xff | Power off/down | Asserted
  d9 | 01/05/2020 | 03:01:29 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  da | 01/05/2020 | 03:01:30 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  db | 01/05/2020 | 03:01:30 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  dc | 01/05/2020 | 03:01:43 PM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  dd | 01/05/2020 | 03:01:44 PM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  de | 01/05/2020 | 03:02:01 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  df | 01/05/2020 | 03:02:27 PM UTC | System Event | OEM System boot event | Asserted
  e0 | 01/05/2020 | 03:02:43 PM UTC | System Event | Timestamp Clock Sync | Asserted
  e1 | 01/05/2020 | 03:02:43 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  e2 | 01/05/2020 | 10:31:57 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  e3 | 01/05/2020 | 10:31:57 PM UTC | System Event | Timestamp Clock Sync | Asserted
  e4 | 01/05/2020 | 10:32:38 PM UTC | Power Unit #0xff | Power off/down | Asserted
  e5 | 01/05/2020 | 10:33:00 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  e6 | 01/05/2020 | 10:33:01 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  e7 | 01/05/2020 | 10:33:02 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  e8 | 01/05/2020 | 10:33:15 PM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  e9 | 01/05/2020 | 10:33:15 PM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  ea | 01/05/2020 | 10:33:32 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  eb | 01/05/2020 | 10:33:58 PM UTC | System Event | OEM System boot event | Asserted
  ec | 01/05/2020 | 10:34:14 PM UTC | System Event | Timestamp Clock Sync | Asserted
  ed | 01/05/2020 | 10:34:14 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  ee | 01/05/2020 | 10:42:06 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  ef | 01/05/2020 | 10:42:06 PM UTC | System Event | Timestamp Clock Sync | Asserted
  f0 | 01/05/2020 | 10:42:54 PM UTC | Processor #0xe5 | Presence detected | Asserted
  f1 | 01/05/2020 | 10:43:02 PM UTC | Processor #0xe4 | Presence detected | Asserted
  f2 | 01/05/2020 | 10:43:02 PM UTC | Power Supply #0xe6 | Presence detected | Asserted
  f3 | 01/05/2020 | 10:43:02 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
  f4 | 01/05/2020 | 10:43:02 PM UTC | Power Supply #0xe7 | Presence detected | Asserted
  f5 | 01/05/2020 | 10:59:23 PM UTC | Power Unit #0xff | Power off/down | Asserted
  f6 | 01/05/2020 | 10:59:46 PM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
  f7 | 01/05/2020 | 10:59:46 PM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
  f8 | 01/05/2020 | 10:59:47 PM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
  f9 | 01/05/2020 | 11:00:00 PM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
  fa | 01/05/2020 | 11:00:01 PM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
  fb | 01/05/2020 | 11:00:18 PM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
  fc | 01/05/2020 | 11:00:44 PM UTC | System Event | OEM System boot event | Asserted
  fd | 01/05/2020 | 11:01:00 PM UTC | System Event | Timestamp Clock Sync | Asserted
  fe | 01/05/2020 | 11:01:00 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
  ff | 01/05/2020 | 11:57:34 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 100 | 01/05/2020 | 11:57:34 PM UTC | System Event | Timestamp Clock Sync | Asserted
 101 | 01/05/2020 | 11:58:21 PM UTC | Processor #0xe5 | Presence detected | Asserted
 102 | 01/05/2020 | 11:58:30 PM UTC | Processor #0xe4 | Presence detected | Asserted
 103 | 01/05/2020 | 11:58:30 PM UTC | Power Supply #0xe6 | Presence detected | Asserted
 104 | 01/05/2020 | 11:58:30 PM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
 105 | 01/05/2020 | 11:58:30 PM UTC | Power Supply #0xe7 | Presence detected | Asserted
 106 | 01/07/2020 | 09:59:29 AM UTC | Power Unit #0xff | Power off/down | Asserted
 107 | 01/07/2020 | 01:52:19 PM UTC | System Event | OEM System boot event | Asserted
 108 | 01/07/2020 | 01:52:37 PM UTC | System Event | Timestamp Clock Sync | Asserted
 109 | 01/07/2020 | 01:52:37 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 10a | 01/07/2020 | 01:52:39 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 10b | 01/07/2020 | 01:52:40 PM UTC | System Event | Timestamp Clock Sync | Asserted
 10c | 01/07/2020 | 02:02:11 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 10d | 01/07/2020 | 03:52:56 PM UTC | System Event | OEM System boot event | Asserted
 10e | 01/07/2020 | 03:53:26 PM UTC | System Event | Timestamp Clock Sync | Asserted
 10f | 01/07/2020 | 03:53:26 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 110 | 03/20/2022 | 09:48:00 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 111 | 03/20/2022 | 09:48:01 PM UTC | System Event | Timestamp Clock Sync | Asserted
 112 | 03/20/2022 | 09:49:57 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 113 | 03/20/2022 | 10:24:49 PM UTC | System Event | OEM System boot event | Asserted
 114 | 03/20/2022 | 10:27:14 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 115 | 03/23/2022 | 05:46:43 AM UTC | Power Unit #0xff | Power off/down | Asserted
 116 | 03/23/2022 | 05:47:06 AM UTC | Processor #0xe4 | Presence detected | Asserted
 117 | 03/23/2022 | 05:47:06 AM UTC | Processor #0xe5 | Presence detected | Asserted
 118 | 03/23/2022 | 05:51:23 AM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
 119 | 03/23/2022 | 05:51:24 AM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
 11a | 03/23/2022 | 05:51:25 AM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
 11b | 03/23/2022 | 05:51:38 AM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
 11c | 03/23/2022 | 05:51:38 AM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
 11d | 03/23/2022 | 05:51:56 AM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
 11e | 03/23/2022 | 05:52:18 AM UTC | System Event | OEM System boot event | Asserted
 11f | 03/23/2022 | 05:52:35 AM UTC | System Event | Timestamp Clock Sync | Asserted
 120 | 03/23/2022 | 05:52:35 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 121 | 03/23/2022 | 06:29:11 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 122 | 03/23/2022 | 06:29:12 AM UTC | System Event | Timestamp Clock Sync | Asserted
 123 | 03/23/2022 | 06:30:06 AM UTC | Power Supply #0xe6 | Presence detected | Asserted
 124 | 03/23/2022 | 06:30:06 AM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
 125 | 03/23/2022 | 06:30:06 AM UTC | Power Supply #0xe7 | Presence detected | Asserted
 126 | 03/23/2022 | 06:30:53 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 127 | 03/23/2022 | 07:01:30 AM UTC | Version Change |  | Asserted
 128 | 03/23/2022 | 07:01:36 AM UTC | Drive Slot / Bay #0x03 | Drive Present | Asserted
 129 | 03/23/2022 | 07:01:37 AM UTC | Drive Slot / Bay #0x04 | Drive Present | Asserted
 12a | 03/23/2022 | 07:01:50 AM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
 12b | 03/23/2022 | 07:01:51 AM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
 12c | 03/23/2022 | 07:01:52 AM UTC | Drive Slot / Bay #0x02 | Drive Present | Asserted
 12d | 03/23/2022 | 07:02:08 AM UTC | Drive Slot / Bay #0x01 | Drive Present | Asserted
 12e | 03/23/2022 | 07:02:31 AM UTC | Unknown |  | Asserted
 12f | 03/23/2022 | 07:03:37 AM UTC | Processor #0xe4 | Presence detected | Asserted
 130 | 03/23/2022 | 07:03:37 AM UTC | Processor #0xe5 | Presence detected | Asserted
 131 | 03/23/2022 | 07:03:46 AM UTC | Power Supply #0xe6 | Presence detected | Asserted
 132 | 03/23/2022 | 07:03:46 AM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
 133 | 03/23/2022 | 07:03:46 AM UTC | Power Supply #0xe7 | Presence detected | Asserted
 134 | 03/23/2022 | 08:19:06 AM UTC | Drive Slot / Bay #0x03 | Drive Present | Deasserted
 135 | 03/23/2022 | 08:19:07 AM UTC | Drive Slot / Bay #0x04 | Drive Present | Deasserted
 136 | 03/23/2022 | 08:19:21 AM UTC | Drive Slot / Bay #0x01 | Drive Present | Deasserted
 137 | 03/23/2022 | 08:19:22 AM UTC | Drive Slot / Bay #0x02 | Drive Present | Deasserted
 138 | 03/23/2022 | 09:28:23 AM UTC | Power Unit #0xff | Power off/down | Asserted
 139 | 03/23/2022 | 09:28:59 AM UTC | Drive Slot / Bay #0x19 | Drive Present | Asserted
 13a | 03/23/2022 | 09:28:59 AM UTC | Drive Slot / Bay #0x1a | Drive Present | Asserted
 13b | 03/23/2022 | 09:29:42 AM UTC | System Event | OEM System boot event | Asserted
 13c | 03/23/2022 | 09:29:58 AM UTC | System Event | Timestamp Clock Sync | Asserted
 13d | 03/23/2022 | 09:29:59 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 13e | 03/23/2022 | 09:30:17 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 13f | 03/23/2022 | 09:30:18 AM UTC | System Event | Timestamp Clock Sync | Asserted
 140 | 03/23/2022 | 09:31:03 AM UTC | Processor #0xe5 | Presence detected | Asserted
 141 | 03/23/2022 | 09:31:10 AM UTC | Processor #0xe4 | Presence detected | Asserted
 142 | 03/23/2022 | 09:31:10 AM UTC | Power Supply #0xe6 | Presence detected | Asserted
 143 | 03/23/2022 | 09:31:10 AM UTC | Power Supply #0xe6 | Power Supply AC lost | Asserted
 144 | 03/23/2022 | 09:31:10 AM UTC | Power Supply #0xe7 | Presence detected | Asserted
 145 | 03/23/2022 | 09:31:52 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 146 | 03/24/2022 | 09:47:18 PM UTC | Power Unit #0xff | Power off/down | Asserted
 147 | 03/24/2022 | 09:51:38 PM UTC | System Event | OEM System boot event | Asserted
