Watchdog         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
P1_VDDCR_SOC     | 0.651      | Volts      | ok    | na        | 0.399     | 0.448     | 1.400     | 1.456     | na        
PDB_TEMP1        | 34.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 96.000    | 99.000    | 127.000   
PDB_TEMP2        | 30.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 96.000    | 99.000    | 127.000   
SYS_POWER        | 650.000    | Watts      | ok    | na        | na        | na        | na        | na        | na        
VR_P0_TEMP       | 41.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 115.000   | 120.000   | 127.000   
VR_P1_TEMP       | 41.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 115.000   | 120.000   | 127.000   
VR_DIMMG0_TEMP   | 62.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 115.000   | 120.000   | 127.000   
VR_DIMMG1_TEMP   | 62.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 115.000   | 120.000   | 127.000   
VR_DIMMG2_TEMP   | 48.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 115.000   | 120.000   | 127.000   
VR_DIMMG3_TEMP   | 47.000     | degrees C  | ok    | -128.000  | -10.000   | -5.000    | 115.000   | 120.000   | 127.000   
VR_P0_VOUT       | 0.768      | Volts      | ok    | na        | 0.400     | 0.448     | 1.712     | 1.792     | na        
VR_P1_VOUT       | 0.768      | Volts      | ok    | na        | 0.400     | 0.448     | 1.712     | 1.792     | na        
VR_DIMMG0_VOUT   | 1.232      | Volts      | ok    | na        | 1.024     | 1.088     | 1.328     | 1.392     | na        
VR_DIMMG1_VOUT   | 1.232      | Volts      | ok    | na        | 1.024     | 1.088     | 1.328     | 1.392     | na        
VR_DIMMG2_VOUT   | 1.232      | Volts      | ok    | na        | 1.024     | 1.088     | 1.328     | 1.392     | na        
VR_DIMMG3_VOUT   | 1.232      | Volts      | ok    | na        | 1.024     | 1.088     | 1.328     | 1.392     | na        
